año,provincia,ha_total,ha_bosque_nativo,fuente
1995,San Luis,196312,75311,bqd_bninc_ha_año_2023
1995,Santa Cruz,5695,,bqd_bninc_ha_año_2023
1995,Santa Fe,,,bqd_bninc_ha_año_2023
1995,Santiago del Estero,27294,13919,bqd_bninc_ha_año_2023
1995,Tierra del Fuego,216,3,bqd_bninc_ha_año_2023
1995,Tucumán,69,23,bqd_bninc_ha_año_2023
1996,Buenos Aires,950,,bqd_bninc_ha_año_2023
1996,Catamarca,148709,68728,bqd_bninc_ha_año_2023
1996,Chaco,6184,2540,bqd_bninc_ha_año_2023
1996,Chubut,11457,9640,bqd_bninc_ha_año_2023
1996,Corrientes,6981,,bqd_bninc_ha_año_2023
1996,Córdoba,49812,43325,bqd_bninc_ha_año_2023
1996,Entre Ríos,1556,449,bqd_bninc_ha_año_2023
1996,Formosa,4530,,bqd_bninc_ha_año_2023
1996,Jujuy,1980,1800,bqd_bninc_ha_año_2023
1996,La Pampa,20600,20600,bqd_bninc_ha_año_2023
1996,La Rioja,975,770,bqd_bninc_ha_año_2023
1996,Mendoza,6615,2500,bqd_bninc_ha_año_2023
1996,Misiones,5305,2430,bqd_bninc_ha_año_2023
1996,Neuquén,70258,10,bqd_bninc_ha_año_2023
1996,Río Negro,33743,3337,bqd_bninc_ha_año_2023
1996,Salta,2391,815,bqd_bninc_ha_año_2023
1996,San Luis,15370,15370,bqd_bninc_ha_año_2023
1996,Santa Cruz,2856,39,bqd_bninc_ha_año_2023
1996,Santa Fe,49038,465,bqd_bninc_ha_año_2023
1996,Santiago del Estero,1750,1500,bqd_bninc_ha_año_2023
1996,Tierra del Fuego,105,93,bqd_bninc_ha_año_2023
1996,Tucumán,32,,bqd_bninc_ha_año_2023
1997,Buenos Aires,3902,489,bqd_bninc_ha_año_2023
1997,Catamarca,45900,,bqd_bninc_ha_año_2023
1997,Chaco,7660,2711,bqd_bninc_ha_año_2023
1997,Chubut,3622,151,bqd_bninc_ha_año_2023
1997,Corrientes,424,58,bqd_bninc_ha_año_2023
1997,Córdoba,39517,22213,bqd_bninc_ha_año_2023
1997,Entre Ríos,857,163,bqd_bninc_ha_año_2023
1997,Formosa,2686,,bqd_bninc_ha_año_2023
