año,provincia,n_incendios,fuente
2016,Entre Ríos,23,series_estadisticas_2009-2016
2016,Formosa,61,series_estadisticas_2009-2016
2016,Jujuy,195,series_estadisticas_2009-2016
2016,La Pampa,91,series_estadisticas_2009-2016
2016,La Rioja,262,series_estadisticas_2009-2016
2016,Mendoza,176,series_estadisticas_2009-2016
2016,Misiones,36,series_estadisticas_2009-2016
2016,Neuquén,76,series_estadisticas_2009-2016
2016,Parques Nacionales,41,series_estadisticas_2009-2016
2016,Río Negro,766,series_estadisticas_2009-2016
2016,Salta,393,series_estadisticas_2009-2016
2016,San Juan,275,series_estadisticas_2009-2016
2016,San Luis,122,series_estadisticas_2009-2016
2016,Santa Cruz,20,series_estadisticas_2009-2016
2016,Santa Fe,1241,series_estadisticas_2009-2016
2016,Santiago del Estero,76,series_estadisticas_2009-2016
2016,Tierra del Fuego,14,series_estadisticas_2009-2016
2016,Tucumán,10,series_estadisticas_2009-2016
2017,Buenos Aires,37,rii
2017,Catamarca,167,rii
2017,Chaco,18,rii
2017,Chubut,30,rii
2017,Ciudad Autónoma de Buenos Aires,0,rii
2017,Corrientes,8,rii
2017,Córdoba,56,rii
2017,Entre Ríos,,rii
2017,Formosa,10,rii
2017,Jujuy,51,rii
2017,La Pampa,89,rii
2017,La Rioja,40,rii
2017,Mendoza,185,rii
2017,Misiones,21,rii
2017,Neuquén,34,rii
2017,Río Negro,70,rii
2017,Salta,13,rii
2017,San Juan,5,rii
2017,San Luis,35,rii
2017,Santa Cruz,4,rii
2017,Santa Fe,,rii
2017,Santiago del Estero,11,rii
2017,Tierra del Fuego,,rii
2017,Tucumán,11,rii
2018,Buenos Aires,45,rii
2018,Catamarca,146,rii
2018,Chaco,8,rii
2018,Chubut,25,rii
2018,Ciudad Autónoma de Buenos Aires,1,rii
2018,Corrientes,15,rii
2018,Córdoba,50,rii
2018,Entre Ríos,22,rii
2018,Formosa,4,rii
2018,Jujuy,132,rii
2018,La Pampa,150,rii
2018,La Rioja,19,rii
2018,Mendoza,153,rii
2018,Misiones,15,rii
2018,Neuquén,37,rii
2018,Río Negro,115,rii
2018,Salta,133,rii
2018,San Juan,41,rii
2018,San Luis,54,rii
2018,Santa Cruz,6,rii
2018,Santa Fe,7,rii
2018,Santiago del Estero,3,rii
2018,Tierra del Fuego,1,rii
2018,Tucumán,11,rii
2019,Buenos Aires,39,rii
2019,Catamarca,318,rii
2019,Chaco,102,rii
2019,Chubut,45,rii
2019,Ciudad Autónoma de Buenos Aires,0,rii
2019,Corrientes,21,rii
2019,Córdoba,64,rii
2019,Entre Ríos,4,rii
2019,Formosa,11,rii
2019,Jujuy,238,rii
2019,La Pampa,91,rii
2019,La Rioja,150,rii
2019,Mendoza,91,rii
2019,Misiones,43,rii
2019,Neuquén,47,rii
2019,Río Negro,122,rii
2019,Salta,9,rii
2019,San Juan,3,rii
2019,San Luis,36,rii
2019,Santa Cruz,10,rii
2019,Santa Fe,19,rii
2019,Santiago del Estero,32,rii
2019,Tierra del Fuego,7,rii
2019,Tucumán,3,rii
2020,Buenos Aires,62,rii
2020,Catamarca,164,rii
2020,Chaco,215,rii
2020,Chubut,46,rii
2020,Ciudad Autónoma de Buenos Aires,1,rii
2020,Corrientes,58,rii
2020,Córdoba,96,rii
2020,Entre Ríos,29,rii
2020,Formosa,14,rii
2020,Jujuy,207,rii
2020,La Pampa,48,rii
2020,La Rioja,126,rii
2020,Mendoza,89,rii
2020,Misiones,71,rii
2020,Neuquén,61,rii
2020,Río Negro,79,rii
2020,Salta,100,rii
2020,San Juan,1,rii
2020,San Luis,29,rii
2020,Santa Cruz,7,rii
2020,Santa Fe,82,rii
2020,Santiago del Estero,38,rii
2020,Tierra del Fuego,2,rii
2020,Tucumán,118,rii
2021,Buenos Aires,39,rii
2021,Catamarca,242,rii
2021,Chaco,122,rii
2021,Chubut,40,rii
2021,Ciudad Autónoma de Buenos Aires,,rii
2021,Corrientes,14,rii
2021,Córdoba,71,rii
2021,Entre Ríos,59,rii
2021,Formosa,34,rii
2021,Jujuy,342,rii
2021,La Pampa,19,rii
2021,La Rioja,179,rii
2021,Mendoza,93,rii
2021,Misiones,45,rii
2021,Neuquén,42,rii
2021,Río Negro,98,rii
2021,Salta,232,rii
2021,San Juan,,rii
2021,San Luis,180,rii
2021,Santa Cruz,9,rii
2021,Santa Fe,50,rii
2021,Santiago del Estero,6,rii
2021,Tierra del Fuego,10,rii
2021,Tucumán,413,rii
2022,Buenos Aires,60,rii
2022,Catamarca,188,rii
2022,Chaco,110,rii
2022,Chubut,39,rii
2022,Ciudad Autónoma de Buenos Aires,,rii
2022,Corrientes,106,rii
2022,Córdoba,144,rii
2022,Entre Ríos,144,rii
2022,Formosa,18,rii
2022,Jujuy,378,rii
2022,La Pampa,66,rii
2022,La Rioja,68,rii
2022,Mendoza,153,rii
2022,Misiones,47,rii
2022,Neuquén,12,rii
2022,Río Negro,54,rii
2022,Salta,222,rii
2022,San Juan,58,rii
2022,San Luis,310,rii
2022,Santa Cruz,4,rii
2022,Santa Fe,74,rii
2022,Santiago del Estero,20,rii
2022,Tierra del Fuego,6,rii
2022,Tucumán,376,rii
2023,Buenos Aires,37,rii
2023,Catamarca,290,rii
2023,Chaco,6,rii
2023,Chubut,87,rii
2023,Ciudad Autónoma de Buenos Aires,1,rii
2023,Corrientes,89,rii
2023,Córdoba,140,rii
2023,Entre Ríos,62,rii
2023,Formosa,17,rii
2023,Jujuy,319,rii
2023,La Pampa,70,rii
2023,La Rioja,11,rii
2023,Mendoza,78,rii
2023,Misiones,12,rii
2023,Neuquén,27,rii
2023,Río Negro,281,rii
2023,Salta,130,rii
2023,San Juan,22,rii
2023,San Luis,64,rii
2023,Santa Cruz,11,rii
2023,Santa Fe,26,rii
2023,Santiago del Estero,34,rii
2023,Tierra del Fuego,12,rii
2023,Tucumán,384,rii
2024,Buenos Aires,6,rii
2024,Catamarca,197,rii
2024,Chaco,,rii
2024,Chubut,71,rii
2024,Ciudad Autónoma de Buenos Aires,,rii
2024,Corrientes,778,rii
2024,Córdoba,52,rii
2024,Entre Ríos,5,rii
2024,Formosa,10,rii
2024,Jujuy,465,rii
2024,La Pampa,47,rii
2024,La Rioja,5,rii
2024,Mendoza,40,rii
2024,Misiones,10,rii
2024,Neuquén,61,rii
2024,Río Negro,81,rii
2024,Salta,298,rii
2024,San Juan,61,rii
2024,San Luis,55,rii
2024,Santa Cruz,6,rii
2024,Santa Fe,3,rii
2024,Santiago del Estero,10,rii
2024,Tierra del Fuego,14,rii
2024,Tucumán,474,rii
2025,Buenos Aires,14,rii
2025,Catamarca,229,rii
2025,Chaco,1,rii
2025,Chubut,64,rii
2025,Ciudad Autónoma de Buenos Aires,,rii
2025,Corrientes,38,rii
2025,Córdoba,54,rii
2025,Entre Ríos,16,rii
2025,Formosa,4,rii
2025,Jujuy,335,rii
2025,La Pampa,85,rii
2025,La Rioja,8,rii
2025,Mendoza,78,rii
2025,Misiones,16,rii
2025,Neuquén,48,rii
2025,Río Negro,42,rii
2025,Salta,173,rii
2025,San Juan,58,rii
2025,San Luis,60,rii
2025,Santa Cruz,13,rii
2025,Santa Fe,3,rii
2025,Santiago del Estero,3,rii
2025,Tierra del Fuego,2,rii
2025,Tucumán,436,rii
2026,Buenos Aires,4,rii
2026,Catamarca,15,rii
2026,Chaco,,rii
2026,Chubut,20,rii
2026,Ciudad Autónoma de Buenos Aires,,rii
2026,Corrientes,7,rii
2026,Córdoba,1,rii
2026,Entre Ríos,9,rii
2026,Formosa,1,rii
2026,Jujuy,1,rii
2026,La Pampa,48,rii
2026,La Rioja,1,rii
2026,Mendoza,23,rii
2026,Misiones,6,rii
2026,Neuquén,33,rii
2026,Río Negro,8,rii
2026,Salta,,rii
2026,San Juan,2,rii
2026,San Luis,,rii
2026,Santa Cruz,2,rii
2026,Santa Fe,,rii
2026,Santiago del Estero,,rii
2026,Tierra del Fuego,,rii
2026,Tucumán,5,rii
