"año";"jurisdicción";"unidad";"superficie_total_incendiada";"superficie_afectada_por_incendios_bosque_nativo"
"2002";"San Luis";"hectáreas";"178112";"178102"
"2002";"Santa Cruz";"hectáreas";"9865";"4022"
"2002";"Santa Fe";"hectáreas";"2545";"429"
"2002";"Santiago del Estero";"hectáreas";"8018";"5774"
"2002";"Tierra del Fuego";"hectáreas";"23";"19"
"2002";"Tucumán";"hectáreas";"1049";"85"
"2003";"Buenos Aires";"hectáreas";"569736";"19536"
"2003";"Catamarca";"hectáreas";"11080";"6880"
"2003";"Chaco";"hectáreas";"16978";"1549"
"2003";"Chubut";"hectáreas";"44659";"41"
"2003";"Ciudad Autónoma de Buenos Aires";"hectáreas";"14";"-"
"2003";"Córdoba";"hectáreas";"127545";"51474"
"2003";"Corrientes";"hectáreas";"2132";"1109"
"2003";"Entre Ríos";"hectáreas";"1381";"400"
"2003";"Formosa";"hectáreas";"7586";"402"
"2003";"Jujuy";"hectáreas";"259";"20"
"2003";"La Pampa";"hectáreas";"853921";"418363"
"2003";"La Rioja";"hectáreas";"125968";"99233"
"2003";"Mendoza";"hectáreas";"612387";"115423"
"2003";"Misiones";"hectáreas";"4381";"5"
"2003";"Neuquén";"hectáreas";"17908";"111"
"2003";"Río Negro";"hectáreas";"448244";"48350"
"2003";"Salta";"hectáreas";"54857";"10660"
"2003";"San Juan";"hectáreas";"2659";"-"
"2003";"San Luis";"hectáreas";"217720";"217720"
"2003";"Santa Cruz";"hectáreas";"15494";"10145"
"2003";"Santa Fe";"hectáreas";"4421";"1256"
"2003";"Santiago del Estero";"hectáreas";"3474";"1933"
"2003";"Tierra del Fuego";"hectáreas";"0";"0"
"2003";"Tucumán";"hectáreas";"3563";"351"
"2004";"Buenos Aires";"hectáreas";"23706";"1538"
"2004";"Catamarca";"hectáreas";"2175";"1"
"2004";"Chaco";"hectáreas";"5257";"428"
"2004";"Chubut";"hectáreas";"2459";"637"
"2004";"Ciudad Autónoma de Buenos Aires";"hectáreas";"45";"0"
"2004";"Córdoba";"hectáreas";"11473";"4600"
"2004";"Corrientes";"hectáreas";"5159";"-"
"2004";"Entre Ríos";"hectáreas";"4133";"635"
"2004";"Formosa";"hectáreas";"2095";"-"
"2004";"Jujuy";"hectáreas";"9796";"1171"
"2004";"La Pampa";"hectáreas";"239678";"17875"
"2004";"La Rioja";"hectáreas";"18231";"9400"
"2004";"Mendoza";"hectáreas";"59759";"15766"
"2004";"Misiones";"hectáreas";"2417";"15"
"2004";"Neuquén";"hectáreas";"25380";"422"
"2004";"Río Negro";"hectáreas";"40425";"6288"
"2004";"Salta";"hectáreas";"64675";"11363"
"2004";"San Juan";"hectáreas";"856";"-"
"2004";"Santa Cruz";"hectáreas";"6451";"142"
"2004";"Santa Fe";"hectáreas";"27430";"1378"
"2004";"Santiago del Estero";"hectáreas";"7180";"4300"
"2004";"Tierra del Fuego";"hectáreas";"26";"21"
"2004";"Tucumán";"hectáreas";"968";"104"
"2005";"Buenos Aires";"hectáreas";"39799";"4171"
"2005";"Catamarca";"hectáreas";"31058";"-"
"2005";"Chaco";"hectáreas";"5143";"335"
"2005";"Chubut";"hectáreas";"5392";"999"
"2005";"Ciudad Autónoma de Buenos Aires";"hectáreas";"28";"-"
"2005";"Córdoba";"hectáreas";"16910";"3866"
"2005";"Corrientes";"hectáreas";"56595";"-"
"2005";"Entre Ríos";"hectáreas";"2714";"146"
"2005";"Formosa";"hectáreas";"7943";"-"
"2005";"Jujuy";"hectáreas";"3655";"850"
"2005";"La Pampa";"hectáreas";"313526";"58290"
"2005";"La Rioja";"hectáreas";"680";"639"
"2005";"Mendoza";"hectáreas";"64986";"6361"
"2005";"Misiones";"hectáreas";"8966";"1527"
"2005";"Neuquén";"hectáreas";"22962";"214"
"2005";"Río Negro";"hectáreas";"303279";"92277"
"2005";"Salta";"hectáreas";"61778";"10876"
"2005";"San Juan";"hectáreas";"996";"-"
"2005";"San Luis";"hectáreas";"22562";"22314"
"2005";"Santa Cruz";"hectáreas";"9398";"57"
"2005";"Santa Fe";"hectáreas";"1911";"15"
"2005";"Santiago del Estero";"hectáreas";"8000";"3300"
"2005";"Tierra del Fuego";"hectáreas";"17";"9"
"2005";"Tucumán";"hectáreas";"2951";"-"
"2006";"Buenos Aires";"hectáreas";"168086";"649"
"2006";"Catamarca";"hectáreas";"4856";"1"
"2006";"Chaco";"hectáreas";"37606";"15944"
"2006";"Chubut";"hectáreas";"331";"75"
"2006";"Córdoba";"hectáreas";"61769";"23498"
"2006";"Corrientes";"hectáreas";"7370";"-"
"2006";"Entre Ríos";"hectáreas";"4805";"345"
"2006";"Formosa";"hectáreas";"1691";"-"
"2006";"Jujuy";"hectáreas";"5875";"31"
"2006";"La Pampa";"hectáreas";"137390";"34170"
"2006";"La Rioja";"hectáreas";"7678";"7500"
"2006";"Mendoza";"hectáreas";"60500";"4906"
"2006";"Misiones";"hectáreas";"2956";"24"
"2006";"Neuquén";"hectáreas";"7665";"600"
"2006";"Río Negro";"hectáreas";"141791";"14222"
"2006";"Salta";"hectáreas";"41163";"8060"
"2006";"San Juan";"hectáreas";"656";"-"
"2006";"San Luis";"hectáreas";"20832";"8440"
"2006";"Santa Cruz";"hectáreas";"3126";"2"
"2006";"Santa Fe";"hectáreas";"3047";"100"
"2006";"Santiago del Estero";"hectáreas";"15000";"12300"
"2006";"Tierra del Fuego";"hectáreas";"1";"0"
"2006";"Tucumán";"hectáreas";"2147";"-"
"2007";"Buenos Aires";"hectáreas";"19106";"1392"
"2007";"Catamarca";"hectáreas";"24755";"-"
"2007";"Chaco";"hectáreas";"26213";"3559"
"2007";"Chubut";"hectáreas";"756";"47"
"2007";"Ciudad Autónoma de Buenos Aires";"hectáreas";"8";"-"
"2007";"Córdoba";"hectáreas";"11369";"4371"
"2007";"Corrientes";"hectáreas";"569";"25"
"2007";"Entre Ríos";"hectáreas";"549";"80"
"2007";"Formosa";"hectáreas";"3056";"16"
"2007";"Jujuy";"hectáreas";"1498";"39"
"2007";"La Pampa";"hectáreas";"22255";"7156"
"2007";"La Rioja";"hectáreas";"200";"19"
"2007";"Mendoza";"hectáreas";"16167";"1672"
"2007";"Misiones";"hectáreas";"296";"-"
"2007";"Neuquén";"hectáreas";"1154";"29"
"2007";"Río Negro";"hectáreas";"43545";"25"
"2007";"Salta";"hectáreas";"36809";"6993"
"2007";"San Juan";"hectáreas";"1346";"-"
"2007";"San Luis";"hectáreas";"25660";"4884"
"2007";"Santa Cruz";"hectáreas";"9024";"2"
"2007";"Santa Fe";"hectáreas";"2794";"98"
"2007";"Santiago del Estero";"hectáreas";"4545";"-"
"2007";"Tierra del Fuego";"hectáreas";"16";"2"
"2007";"Tucumán";"hectáreas";"862";"40"
"2008";"Buenos Aires";"hectáreas";"68824";"2083"
"2008";"Catamarca";"hectáreas";"12545";"2840"
"2008";"Chaco";"hectáreas";"2873";"718"
"2008";"Chubut";"hectáreas";"9287";"3459"
"2008";"Ciudad Autónoma de Buenos Aires";"hectáreas";"2";"0"
"2008";"Córdoba";"hectáreas";"61542";"15603"
"2008";"Corrientes";"hectáreas";"8053";"2880"
"2008";"Entre Ríos";"hectáreas";"77893";"2037"
"2008";"Formosa";"hectáreas";"4165";"30"
"2008";"Jujuy";"hectáreas";"2647";"191"
"2008";"La Pampa";"hectáreas";"97486";"41315"
"2008";"La Rioja";"hectáreas";"1017";"70"
"2008";"Mendoza";"hectáreas";"88527";"827"
"2008";"Misiones";"hectáreas";"1473";"83"
"2008";"Neuquén";"hectáreas";"872";"136"
"2008";"Río Negro";"hectáreas";"20349";"8"
"2008";"Salta";"hectáreas";"27391";"4428"
"2008";"San Juan";"hectáreas";"1123";"120"
"2008";"San Luis";"hectáreas";"24150";"3070"
"2008";"Santa Cruz";"hectáreas";"55299";"3"
"2008";"Santa Fe";"hectáreas";"5001";"234"
"2008";"Santiago del Estero";"hectáreas";"24633";"-"
"2008";"Tierra del Fuego";"hectáreas";"7395";"4846"
"2008";"Tucumán";"hectáreas";"245";"20"
"2009";"Buenos Aires";"hectáreas";"34078";"10032"
"2009";"Catamarca";"hectáreas";"54253";"7605"
"2009";"Chaco";"hectáreas";"3442";"875"
"2009";"Chubut";"hectáreas";"368";"107"
"2009";"Ciudad Autónoma de Buenos Aires";"hectáreas";"65";"5"
"2009";"Córdoba";"hectáreas";"70247";"21884"
"2009";"Corrientes";"hectáreas";"15560";"545"
"2009";"Entre Ríos";"hectáreas";"804";"-"
"2009";"Formosa";"hectáreas";"1378";"-"
"2009";"Jujuy";"hectáreas";"1668";"334"
"2009";"La Pampa";"hectáreas";"24926";"12386"
"2009";"La Rioja";"hectáreas";"3980";"100"
"2009";"Mendoza";"hectáreas";"25296";"244"
"2009";"Misiones";"hectáreas";"1478";"248"
"2009";"Neuquén";"hectáreas";"209";"30"
"2009";"Río Negro";"hectáreas";"14754";"1322"
"2009";"Salta";"hectáreas";"35051";"4555"
"2009";"San Juan";"hectáreas";"1165";"-"
"2009";"San Luis";"hectáreas";"486563";"37445"
"2009";"Santa Cruz";"hectáreas";"9848";"0"
"2009";"Santa Fe";"hectáreas";"3887";"22"
"2009";"Santiago del Estero";"hectáreas";"39540";"8090"
"2009";"Tierra del Fuego";"hectáreas";"35";"34"
"2009";"Tucumán";"hectáreas";"4993";"804"
"2010";"Buenos Aires";"hectáreas";"8671";"1451"
"2010";"Catamarca";"hectáreas";"15831";"564"
"2010";"Chaco";"hectáreas";"3917";"973"
"2010";"Chubut";"hectáreas";"1262";"176"
"2010";"Ciudad Autónoma de Buenos Aires";"hectáreas";"";"-"
"2010";"Córdoba";"hectáreas";"10305";"2233"
"2010";"Corrientes";"hectáreas";"820";"-"
"2010";"Entre Ríos";"hectáreas";"1692";"802"
"2010";"Jujuy";"hectáreas";"27145";"24461"
"2010";"La Pampa";"hectáreas";"18391";"1360"
"2010";"La Rioja";"hectáreas";"29271";"-"
"2010";"Mendoza";"hectáreas";"54196";"3712"
"2010";"Misiones";"hectáreas";"546";"3"
"2010";"Neuquén";"hectáreas";"595";"5"
"2010";"Río Negro";"hectáreas";"645";"8"
"2010";"Salta";"hectáreas";"3945";"379"
"2010";"San Juan";"hectáreas";"1087";"-"
"2010";"San Luis";"hectáreas";"32325";"9780"
"2010";"Santa Cruz";"hectáreas";"41";"4"
"2010";"Santa Fe";"hectáreas";"2767";"18"
"2010";"Santiago del Estero";"hectáreas";"5395";"1050"
"2010";"Tierra del Fuego";"hectáreas";"6";"3"
"2011";"Buenos Aires";"hectáreas";"3354";"229"
"2011";"Catamarca";"hectáreas";"12723";"4165"
"2011";"Chaco";"hectáreas";"8848";"2526"
"2011";"Chubut";"hectáreas";"4169";"1236"
"2011";"Ciudad Autónoma de Buenos Aires";"hectáreas";"8";"1"
"2011";"Córdoba";"hectáreas";"71293";"24569"
"2011";"Corrientes";"hectáreas";"5876";"-"
"2011";"Entre Ríos";"hectáreas";"2025";"34"
"2011";"Formosa";"hectáreas";"2415";"338"
"2011";"Jujuy";"hectáreas";"1342";"327"
"2011";"La Pampa";"hectáreas";"78022";"7300"
"2011";"La Rioja";"hectáreas";"1390";"-"
"2011";"Mendoza";"hectáreas";"10908";"427"
"2011";"Misiones";"hectáreas";"502";"15"
"2011";"Neuquén";"hectáreas";"10683";"671"
"2011";"Río Negro";"hectáreas";"15355";"5"
"2011";"Salta";"hectáreas";"1909";"167"
"2011";"San Juan";"hectáreas";"20136";"20"
"2011";"San Luis";"hectáreas";"18600";"4218"
"2011";"Santa Cruz";"hectáreas";"63";"2"
"2011";"Santa Fe";"hectáreas";"2490";"62"
"2011";"Santiago del Estero";"hectáreas";"10954";"7388"
"2011";"Tierra del Fuego";"hectáreas";"97";"80"
"2012";"Buenos Aires";"hectáreas";"98";"0"
"2012";"Catamarca";"hectáreas";"4651";"4"
"2012";"Chaco";"hectáreas";"7771";"4317"
"2012";"Chubut";"hectáreas";"4698";"3306"
"2012";"Ciudad Autónoma de Buenos Aires";"hectáreas";"0";"0"
"2012";"Córdoba";"hectáreas";"11130";"4036"
"2012";"Corrientes";"hectáreas";"3557";"-"
"2012";"Entre Ríos";"hectáreas";"2423";"1591"
"2012";"Formosa";"hectáreas";"5959";"-"
"2012";"Jujuy";"hectáreas";"8675";"1503"
"2012";"La Pampa";"hectáreas";"30202";"14644"
"2012";"La Rioja";"hectáreas";"391";"6"
"2012";"Mendoza";"hectáreas";"7006";"260"
"2012";"Misiones";"hectáreas";"2143";"220"
"2012";"Neuquén";"hectáreas";"16058";"397"
"2012";"Río Negro";"hectáreas";"3093";"376"
"2012";"Salta";"hectáreas";"1798";"115"
"2012";"San Juan";"hectáreas";"636";"3"
"2012";"San Luis";"hectáreas";"50201";"5841"
"2012";"Santa Cruz";"hectáreas";"20499";"1000"
"2012";"Santa Fe";"hectáreas";"2531";"5"
"2012";"Santiago del Estero";"hectáreas";"8970";"5510"
"2012";"Tierra del Fuego";"hectáreas";"2576";"2575"
"2012";"Tucumán";"hectáreas";"1992";"58"
"2013";"Buenos Aires";"hectáreas";"1968";"38"
"2013";"Catamarca";"hectáreas";"6507";"159"
"2013";"Chaco";"hectáreas";"8852";"710"
"2013";"Chubut";"hectáreas";"107";"69"
"2013";"Ciudad Autónoma de Buenos Aires";"hectáreas";"32";"-"
"2013";"Córdoba";"hectáreas";"105179";"25620"
"2013";"Corrientes";"hectáreas";"1103";"154"
"2013";"Entre Ríos";"hectáreas";"11840";"1185"
"2013";"Formosa";"hectáreas";"11293";"764"
"2013";"Jujuy";"hectáreas";"32042";"18308"
"2013";"La Pampa";"hectáreas";"83360";"44756"
"2013";"La Rioja";"hectáreas";"506";"-"
"2013";"Mendoza";"hectáreas";"77018";"1776"
"2013";"Misiones";"hectáreas";"870";"8"
"2013";"Neuquén";"hectáreas";"2449";"1432"
"2013";"Río Negro";"hectáreas";"1732";"61"
"2013";"Salta";"hectáreas";"18146";"-"
"2013";"San Juan";"hectáreas";"452";"80"
"2013";"San Luis";"hectáreas";"54693";"1617"
"2013";"Santa Cruz";"hectáreas";"1504";"1"
"2013";"Santa Fe";"hectáreas";"2478";"132"
"2013";"Santiago del Estero";"hectáreas";"6062";"3270"
"2013";"Tierra del Fuego";"hectáreas";"10";"3"
"2013";"Tucumán";"hectáreas";"6429";"104"
"2014";"Buenos Aires";"hectáreas";"66104";"4882"
"2014";"Catamarca";"hectáreas";"10367";"3"
"2014";"Chaco";"hectáreas";"5245";"72"
"2014";"Chubut";"hectáreas";"148";"1"
"2014";"Ciudad Autónoma de Buenos Aires";"hectáreas";"0";"-"
"2014";"Córdoba";"hectáreas";"4196";"-"
"2014";"Corrientes";"hectáreas";"1640";"54"
"2014";"Entre Ríos";"hectáreas";"1536";"517"
"2014";"Formosa";"hectáreas";"7821";"11"
"2014";"Jujuy";"hectáreas";"1448";"21"
"2014";"La Pampa";"hectáreas";"490635";"143009"
"2014";"La Rioja";"hectáreas";"1814";"-"
"2014";"Mendoza";"hectáreas";"66156";"2810"
"2014";"Misiones";"hectáreas";"959";"32"
"2014";"Neuquén";"hectáreas";"627";"31"
"2014";"Río Negro";"hectáreas";"49374";"4"
"2014";"Salta";"hectáreas";"1615";"12"
"2014";"San Juan";"hectáreas";"566";"-"
"2014";"San Luis";"hectáreas";"52493";"2530"
"2014";"Santa Cruz";"hectáreas";"277";"185"
"2014";"Santa Fe";"hectáreas";"739";"-"
"2014";"Santiago del Estero";"hectáreas";"1471";"27"
"2014";"Tierra del Fuego";"hectáreas";"9";"1"
"2014";"Tucumán";"hectáreas";"120";"-"
"2015";"Buenos Aires";"hectáreas";"5730";"173"
"2015";"Catamarca";"hectáreas";"10852";"8"
"2015";"Chaco";"hectáreas";"4220";"25"
"2015";"Chubut";"hectáreas";"40347";"26987"
"2015";"Ciudad Autónoma de Buenos Aires";"hectáreas";"6";"-"
"2015";"Córdoba";"hectáreas";"1280";"720"
"2015";"Corrientes";"hectáreas";"12227";"-"
